original_review,cleaned_review,tokens,sentiment
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",customize order way youd like usual eggplant green bean stir fry love,customize order way youd like usual eggplant green bean stir fry love,1
The restaurant had a lack of healthy options.,restaurant lack healthy option,restaurant lack healthy option,0
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",high hope place since burger cook charcoal grill unfortunately taste fell flat way flat,high hope place since burger cook charcoal grill unfortunately taste fell flat way flat,0
Waitress was sweet and funny.,waitress sweet funny,waitress sweet funny,1
The dishes were served with stale bread.,dish serve stale bread,dish serve stale bread,0
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,ryans bar definitely one edinburgh establishment not revisit,ryans bar definitely one edinburgh establishment not revisit,0
The portions were insufficient and left us wanting more.,portion insufficient leave want,portion insufficient leave want,0
This greedy corporation will NEVER see another dime from me!,greedy corporation never see another dime,greedy corporation never see another dime,0
The dishes were overly greasy and oily.,dish overly greasy oily,dish overly greasy oily,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",burger absolutely no flavor meat totally bland burger overcook no charcoal flavor,burger absolutely no flavor meat totally bland burger overcook no charcoal flavor,0
The menu options were limited and uninspiring.,menu option limit uninspiring,menu option limit uninspiring,0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,group claim would handle beautifully,group claim would handle beautifully,1
This wonderful experience made this place a must-stop whenever we are in town again.,wonderful experience make place muststop whenever town,wonderful experience make place muststop whenever town,1
Generous portions and great taste.,generous portion great taste,generous portion great taste,1
The staff was friendly and attentive to details.,staff friendly attentive detail,staff friendly attentive detail,1
The food had a strange and unappetizing appearance.,food strange unappetizing appearance,food strange unappetizing appearance,0
The restaurant had a variety of vegetarian options.,restaurant variety vegetarian option,restaurant variety vegetarian option,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",think youd venture far away get good sushi place really hit spot night,think youd venture far away get good sushi place really hit spot night,1
Nice ambiance.,nice ambiance,nice ambiance,1
What a great double cheeseburger!,great double cheeseburger,great double cheeseburger,1
"Host staff were, for lack of a better word, BITCHES!",host staff lack good word bitch,host staff lack good word bitch,0
"However, there was so much garlic in the fondue, it was barely edible.",however much garlic fondue barely edible,however much garlic fondue barely edible,0
"Same evening, him and I are both drastically sick.",even drastically sick,even drastically sick,0
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",staff super nice quick even crazy crowd downtown jury lawyer court staff,staff super nice quick even crazy crowd downtown jury lawyer court staff,1
"Oh this is such a thing of beauty, this restaurant.",oh thing beauty restaurant,oh thing beauty restaurant,1
"The sangria was about half of a glass wine full and was $12, ridiculous.",sangria half glass wine full ridiculous,sangria half glass wine full ridiculous,0
The restaurant provided exceptional customer service.,restaurant provide exceptional customer service,restaurant provide exceptional customer service,1
WAAAAAAyyyyyyyyyy over rated is all I am saying.,waaaaaayyyyyyyyyy rat say,waaaaaayyyyyyyyyy rat say,0
The restaurant had quick service and short wait times.,restaurant quick service short wait time,restaurant quick service short wait time,1
The food lacked quality and freshness.,food lack quality freshness,food lack quality freshness,0
"It was so bad, I had lost the heart to finish it.",bad lose heart finish,bad lose heart finish,0
"Service is quick and even ""to go"" orders are just like we like it!",service quick even go order like like,service quick even go order like like,1
Fantastic food!,fantastic food,fantastic food,1
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,bland not liking place number reason not want waste time bad review ill leave,bland not liking place number reason not want waste time bad review ill leave,0
The portions were skimpy and left us feeling unsatisfied.,portion skimpy leave feel unsatisfied,portion skimpy leave feel unsatisfied,0
Worst food/service I've had in a while.,bad foodservice ive,bad foodservice ive,0
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,thing not crazy guacamole not like pur ed,thing not crazy guacamole not like pur ed,0
Service is quick and friendly.,service quick friendly,service quick friendly,1
This place is awesome if you want something light and healthy during the summer.,place awesome want something light healthy summer,place awesome want something light healthy summer,1
My ribeye steak was cooked perfectly and had great mesquite flavor.,ribeye steak cook perfectly great mesquite flavor,ribeye steak cook perfectly great mesquite flavor,1
The restaurant had a calm and peaceful ambiance.,restaurant calm peaceful ambiance,restaurant calm peaceful ambiance,1
The restaurant had a reasonable waiting list.,restaurant reasonable waiting list,restaurant reasonable waiting list,1
"Cute, quaint, simple, honest.",cute quaint simple honest,cute quaint simple honest,1
"It was extremely ""crumby"" and pretty tasteless.",extremely crumby pretty tasteless,extremely crumby pretty tasteless,0
The food was served cold and unappetizing.,food serve cold unappetizing,food serve cold unappetizing,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",like really sexy party mouth youre outrageously flirt hot person party,like really sexy party mouth youre outrageously flirt hot person party,1
The restaurant had rude and unhelpful staff.,restaurant rude unhelpful staff,restaurant rude unhelpful staff,0
Fantastic service here.,fantastic service,fantastic service,1
"Good service, very clean, and inexpensive, to boot!",good service clean inexpensive boot,good service clean inexpensive boot,1
The waiters were inattentive and rarely checked on us.,waiter inattentive rarely check,waiter inattentive rarely check,0
Waitress was good though!,waitress good though,waitress good though,1
The croutons also taste homemade which is an extra plus.,crouton also taste homemade extra plus,crouton also taste homemade extra plus,1
Will be back again!,back,back,1
"OMG, the food was delicioso!",omg food delicioso,omg food delicioso,1
The dishes had the right amount of seasoning and flavor.,dish right amount seasoning flavor,dish right amount seasoning flavor,1
By far the BEST cheesecurds we have ever had!,far best cheesecurds ever,far best cheesecurds ever,1
The portion was huge!,portion huge,portion huge,1
One of the few places in Phoenix that I would definately go back to again .,one place phoenix would definately go back,one place phoenix would definately go back,1
"The restaurant had limited choices for vegetarians, lacking variety.",restaurant limit choice vegetarian lack variety,restaurant limit choice vegetarian lack variety,0
Each day of the week they have a different deal and it's all so delicious!,day week different deal delicious,day week different deal delicious,1
It is PERFECT for a sit-down family meal or get together with a few friends.,perfect sitdown family meal get together friend,perfect sitdown family meal get together friend,1
"All in all, I can assure you I'll be back.",assure ill back,assure ill back,1
The menu had so much good stuff on it i could not decide!,menu much good stuff could not decide,menu much good stuff could not decide,1
Overall I wasn't very impressed with Noca.,overall not impressed noca,overall not impressed noca,0
"If you're not familiar, check it out.",youre not familiar check,youre not familiar check,1
The waiters were attentive and provided excellent recommendations.,waiter attentive provided excellent recommendation,waiter attentive provided excellent recommendation,1
The restaurant had no vegetarian options.,restaurant no vegetarian option,restaurant no vegetarian option,0
The servers had an excellent knowledge of the menu.,server excellent knowledge menu,server excellent knowledge menu,1
The restaurant had poor lighting.,restaurant poor lighting,restaurant poor lighting,0
If you stay in Vegas you must get breakfast here at least once.,stay vega must get breakfast least,stay vega must get breakfast least,1
Highly recommended.,highly recommended,highly recommended,1
The food had a rich and delectable flavor.,food rich delectable flavor,food rich delectable flavor,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",unfortunately must hit bakery leftover day everything order stale,unfortunately must hit bakery leftover day everything order stale,0
The cashier was friendly and even brought the food out to me.,cashier friendly even bring food,cashier friendly even bring food,1
The restaurant had a charming and inviting ambiance.,restaurant charming inviting ambiance,restaurant charming inviting ambiance,1
The restaurant had a limited selection of desserts.,restaurant limited selection dessert,restaurant limited selection dessert,0
The restaurant had poor air conditioning.,restaurant poor air conditioning,restaurant poor air conditioning,0
"Our waiter was very attentive, friendly, and informative.",waiter attentive friendly informative,waiter attentive friendly informative,1
The service was efficient and well-organized.,service efficient wellorganized,service efficient wellorganized,1
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",although much like look sound place actual experience bit disappointing,although much like look sound place actual experience bit disappointing,0
"He also came back to check on us regularly, excellent service.",also come back check regularly excellent service,also come back check regularly excellent service,1
Service is also cute.,service also cute,service also cute,1
"After 20 minutes wait, I got a table.",minute wait get table,minute wait get table,0
I give it 2 thumbs down,give thumb,give thumb,0
"The staff are great, the ambiance is great.",staff great ambiance great,staff great ambiance great,1
Highly unprofessional and rude to a loyal patron!,highly unprofessional rude loyal patron,highly unprofessional rude loyal patron,0
Won't ever go here again.,not ever go,not ever go,0
Penne vodka excellent!,penne vodka excellent,penne vodka excellent,1
I could care less... The interior is just beautiful.,could care less interior beautiful,could care less interior beautiful,1
"I'd rather eat airline food, seriously.",id rather eat airline food seriously,id rather eat airline food seriously,0
The dishes were crafted with fresh and flavorful ingredients.,dish craft fresh flavorful ingredient,dish craft fresh flavorful ingredient,1
The restaurant had a long wait time for food.,restaurant long wait time food,restaurant long wait time food,0
The selection on the menu was great and so were the prices.,selection menu great price,selection menu great price,1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",stop place madison ironman friendly kind staff,stop place madison ironman friendly kind staff,1
The dishes were served with warm and fresh bread.,dish serve warm fresh bread,dish serve warm fresh bread,1
The staff was disinterested and lacked enthusiasm.,staff disinterested lack enthusiasm,staff disinterested lack enthusiasm,0
"The service was terrible, food was mediocre.",service terrible food mediocre,service terrible food mediocre,0
The food was excellent and service was very good.,food excellent service good,food excellent service good,1
"Thus far, have only visited twice and the food was absolutely delicious each time.",thus far visit twice food absolutely delicious time,thus far visit twice food absolutely delicious time,1
The staff was disorganized and made errors with orders.,staff disorganize make error order,staff disorganize make error order,0
"Unfortunately, it only set us up for disapppointment with our entrees.",unfortunately set disapppointment entree,unfortunately set disapppointment entree,0
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",hot dish not hot cold dish close room tempo watch staff prepare food bare hand no gloveseverything deep fry oil,hot dish not hot cold dish close room tempo watch staff prepare food bare hand no gloveseverything deep fry oil,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,server not pleasant deal not always honor pizza hut coupon,server not pleasant deal not always honor pizza hut coupon,0
Any grandmother can make a roasted chicken better than this one.,grandmother make roasted chicken well one,grandmother make roasted chicken well one,0
We loved the place.,love place,love place,1
The servers were friendly and attentive to details.,server friendly attentive detail,server friendly attentive detail,1
As a sushi lover avoid this place by all means.,sushi lover avoid place mean,sushi lover avoid place mean,0
"It was a bit too sweet, not really spicy enough, and lacked flavor.",bit sweet not really spicy enough lack flavor,bit sweet not really spicy enough lack flavor,0
The restaurant had slow service and frequent mistakes.,restaurant slow service frequent mistake,restaurant slow service frequent mistake,0
The restaurant had a long waiting list.,restaurant long waiting list,restaurant long waiting list,0
Wow... Loved this place.,wow love place,wow love place,1
Awful service.,awful service,awful service,0
The food was tasteless and lacked any seasoning.,food tasteless lack seasoning,food tasteless lack seasoning,0
The food was underwhelming and did not meet our expectations.,food underwhelming not meet expectation,food underwhelming not meet expectation,0
"If it were possible to give them zero stars, they'd have it.",possible give zero star theyd,possible give zero star theyd,0
I'm not impressed with the concept or the food.,im not impress concept food,im not impress concept food,0
Join the club and get awesome offers via email.,join club get awesome offer via email,join club get awesome offer via email,1
"Their menu is diverse, and reasonably priced.",menu diverse reasonably price,menu diverse reasonably price,1
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",anyways food definitely not fill price pay expect,anyways food definitely not fill price pay expect,0
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",service im fan quick youre serve nice folk,service im fan quick youre serve nice folk,1
The dishes were too spicy and overwhelming.,dish spicy overwhelming,dish spicy overwhelming,0
The staff was friendly and helpful.,staff friendly helpful,staff friendly helpful,1
The ambiance was incredible.,ambiance incredible,ambiance incredible,1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",always order vegetarian menu dinner wide array option choose,always order vegetarian menu dinner wide array option choose,1
"Both of them were truly unbelievably good, and I am so glad we went back.",truly unbelievably good glad go back,truly unbelievably good glad go back,1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,im not really sure joeys vote best hot dog valley reader phoenix magazine,im not really sure joeys vote best hot dog valley reader phoenix magazine,0
The portions were ample and left us feeling completely satisfied.,portion ample leave feel completely satisfied,portion ample leave feel completely satisfied,1
The portions were ample and left us feeling satisfied.,portion ample leave feel satisfy,portion ample leave feel satisfy,1
The restaurant had an inviting and cozy atmosphere.,restaurant inviting cozy atmosphere,restaurant inviting cozy atmosphere,1
I love the Pho and the spring rolls oh so yummy you have to try.,love pho spring roll oh yummy try,love pho spring roll oh yummy try,1
The yellowtail carpaccio was melt in your mouth fresh.,yellowtail carpaccio melt mouth fresh,yellowtail carpaccio melt mouth fresh,1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,may say buffet pricey think get pay place get quite lot,may say buffet pricey think get pay place get quite lot,1
"For sushi on the Strip, this is the place to go.",sushi strip place go,sushi strip place go,1
The dishes were accompanied by warm and fresh bread.,dish accompany warm fresh bread,dish accompany warm fresh bread,1
The restaurant had efficient service and minimal waiting times.,restaurant efficient service minimal wait time,restaurant efficient service minimal wait time,1
"Frozen pucks of disgust, with some of the worst people behind the register.",frozen puck disgust bad people behind register,frozen puck disgust bad people behind register,0
The restaurant had slow service and lengthy delays.,restaurant slow service lengthy delay,restaurant slow service lengthy delay,0
Service is perfect and the family atmosphere is nice to see.,service perfect family atmosphere nice see,service perfect family atmosphere nice see,1
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",total letdown would much rather go camelback flower shop cartel coffee,total letdown would much rather go camelback flower shop cartel coffee,0
The food was tasteless and lacked any distinctive taste.,food tasteless lack distinctive taste,food tasteless lack distinctive taste,0
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",burger not good pizza use amazing doughy flavorless,burger not good pizza use amazing doughy flavorless,0
Don't waste your time here.,not waste time,not waste time,0
Total brunch fail.,total brunch fail,total brunch fail,0
The restaurant had dirty and sticky floors.,restaurant dirty sticky floor,restaurant dirty sticky floor,0
Hands down my favorite Italian restaurant!,hand favorite italian restaurant,hand favorite italian restaurant,1
"When I opened the sandwich, I was impressed, but not in a good way.",open sandwich impressed not good way,open sandwich impressed not good way,0
The waiters were rude and didn't provide good service.,waiter rude not provide good service,waiter rude not provide good service,0
Mediocre food.,mediocre food,mediocre food,0
Terrible service!,terrible service,terrible service,0
Check it out.,check,check,1
The food was a gastronomic delight with its exquisite flavors.,food gastronomic delight exquisite flavor,food gastronomic delight exquisite flavor,1
The restaurant had a range of gluten-free options.,restaurant range glutenfree option,restaurant range glutenfree option,1
The food was poorly prepared and lacked proper cooking.,food poorly prepared lack proper cooking,food poorly prepared lack proper cooking,0
The restaurant had limited menu options and poor variety.,restaurant limit menu option poor variety,restaurant limit menu option poor variety,0
Ordered burger rare came in we'll done.,order burger rare come well,order burger rare come well,0
Best breakfast buffet!!!,best breakfast buffet,best breakfast buffet,1
The restaurant had a short wait time for a table.,restaurant short wait time table,restaurant short wait time table,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",love itfriendly server great food wonderful imaginative menu,love itfriendly server great food wonderful imaginative menu,1
"I love the owner/chef, his one authentic Japanese cool dude!",love ownerchef one authentic japanese cool dude,love ownerchef one authentic japanese cool dude,1
"The waiters were inattentive, neglecting our requests.",waiter inattentive neglect request,waiter inattentive neglect request,0
I was VERY disappointed!!,disappointed,disappointed,0
The restaurant had comfortable and elegant decor.,restaurant comfortable elegant decor,restaurant comfortable elegant decor,1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,boyfriend come first time recent trip vega could not pleased quality food service,boyfriend come first time recent trip vega could not pleased quality food service,1
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",salad wing ice cream dessert leave feel quite satisfied,salad wing ice cream dessert leave feel quite satisfied,1
Extremely Tasty!,extremely tasty,extremely tasty,1
"The restaurant had poor lighting, making it difficult to see.",restaurant poor light make difficult see,restaurant poor light make difficult see,0
Best fish I've ever had in my life!,best fish ive ever life,best fish ive ever life,1
"I'm so happy to be here!!!""",im happy,im happy,1
I had the opportunity today to sample your amazing pizzas!,opportunity today sample amazing pizza,opportunity today sample amazing pizza,1
The food was tasteless and bland.,food tasteless bland,food tasteless bland,0
The food was a true delight with its exquisite taste.,food true delight exquisite taste,food true delight exquisite taste,1
The management was organized and professional.,management organize professional,management organize professional,1
The staff was unprofessional and lacked proper training.,staff unprofessional lacked proper training,staff unprofessional lacked proper training,0
This place lacked style!!,place lack style,place lack style,0
I had the chicken Pho and it tasted very bland.,chicken pho taste bland,chicken pho taste bland,0
AN HOUR... seriously?,hour seriously,hour seriously,0
Your staff spends more time talking to themselves than me.,staff spend time talk,staff spend time talk,0
The restaurant had poor customer service.,restaurant poor customer service,restaurant poor customer service,0
Just as good as when I had it more than a year ago!,good year ago,good year ago,1
The food had a visually appealing and enticing presentation.,food visually appeal entice presentation,food visually appeal entice presentation,1
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,wonderful lil tapa ambience make feel warm fuzzy inside,wonderful lil tapa ambience make feel warm fuzzy inside,1
The portions were meager and unsatisfying.,portion meager unsatisfying,portion meager unsatisfying,0
"Love the margaritas, too!",love margarita,love margarita,1
The waiters were attentive and provided excellent suggestions.,waiter attentive provided excellent suggestion,waiter attentive provided excellent suggestion,1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",consider two leave full happy not go wrong,consider two leave full happy not go wrong,1
What I really like there is the crepe station.,really like crepe station,really like crepe station,1
The waiters were friendly and attentive.,waiter friendly attentive,waiter friendly attentive,1
The restaurant had uncomfortable seating and limited space.,restaurant uncomfortable seating limited space,restaurant uncomfortable seating limited space,0
The cashew cream sauce was bland and the vegetables were undercooked.,cashew cream sauce bland vegetable undercooked,cashew cream sauce bland vegetable undercooked,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,least think refill water struggle wave minute,least think refill water struggle wave minute,0
The waiters were attentive and provided outstanding recommendations.,waiter attentive provide outstanding recommendation,waiter attentive provide outstanding recommendation,1
The restaurant had an extensive wine selection.,restaurant extensive wine selection,restaurant extensive wine selection,1
This is a good joint.,good joint,good joint,1
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,also serve indian naan bread hummus spicy pine nut sauce world,also serve indian naan bread hummus spicy pine nut sauce world,1
The waiters were attentive and provided exceptional service.,waiter attentive provide exceptional service,waiter attentive provide exceptional service,1
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",hilarious yummy christmas eve dinner remember big fail entire trip,hilarious yummy christmas eve dinner remember big fail entire trip,0
This place should honestly be blown up.,place honestly blow,place honestly blow,0
The staff was unfriendly and unhelpful.,staff unfriendly unhelpful,staff unfriendly unhelpful,0
I highly recommend this place.,highly recommend place,highly recommend place,1
I did not expect this to be so good!,not expect good,not expect good,1
"not even a ""hello, we will be right with you.""",not even hello right,not even hello right,0
The staff was rude and unprofessional.,staff rude unprofessional,staff rude unprofessional,0
"It was either too cold, not enough flavor or just bad.",either cold not enough flavor bad,either cold not enough flavor bad,0
"The restaurant had a noisy environment, making conversation difficult.",restaurant noisy environment make conversation difficult,restaurant noisy environment make conversation difficult,0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,sweet potato tot good onion ring perfection close,sweet potato tot good onion ring perfection close,1
Horrible - don't waste your time and money.,horrible not waste time money,horrible not waste time money,0
"However, my recent experience at this particular location was not so good.",however recent experience particular location not good,however recent experience particular location not good,0
This is some seriously good pizza and I'm an expert/connisseur on the topic.,seriously good pizza im expertconnisseur topic,seriously good pizza im expertconnisseur topic,1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,pan cake everyone rave taste like sugary disaster tailor palate six year old,pan cake everyone rave taste like sugary disaster tailor palate six year old,0
The only redeeming quality of the restaurant was that it was very inexpensive.,redeeming quality restaurant inexpensive,redeeming quality restaurant inexpensive,1
The pancake was also really good and pretty large at that.,pancake also really good pretty large,pancake also really good pretty large,1
This is the place where I first had pho and it was amazing!!,place first pho amaze,place first pho amaze,1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,huge awkward lb piece cow ths gristle fat,huge awkward lb piece cow ths gristle fat,0
The food is very good for your typical bar food.,food good typical bar food,food good typical bar food,1
The food had a mouthwatering and delightful flavor.,food mouthwatering delightful flavor,food mouthwatering delightful flavor,1
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",place overprice not consistent boba really overprice,place overprice not consistent boba really overprice,0
The portions were generous and left us satisfied.,portion generous leave satisfy,portion generous leave satisfy,1
The restaurant accommodated dietary restrictions.,restaurant accommodate dietary restriction,restaurant accommodate dietary restriction,1
We asked for the bill to leave without eating and they didn't bring that either.,ask bill leave without eat not bring either,ask bill leave without eat not bring either,0
The waiters were untrained and made mistakes with orders.,waiter untrained make mistake order,waiter untrained make mistake order,0
The food was a culinary masterpiece with its exquisite flavors.,food culinary masterpiece exquisite flavor,food culinary masterpiece exquisite flavor,1
Nargile - I think you are great.,nargile think great,nargile think great,1
The staff was unresponsive to customer complaints.,staff unresponsive customer complaint,staff unresponsive customer complaint,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",overall not think would take parent place make similar complaint silently felt,overall not think would take parent place make similar complaint silently felt,0
This is a GREAT place to eat!,great place eat,great place eat,1
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",bad day not low tolerance rude customer service people job nice polite wash dish otherwise,bad day not low tolerance rude customer service people job nice polite wash dish otherwise,0
A great way to finish a great.,great way finish great,great way finish great,1
Will not be back.,not back,not back,0
The restaurant had clean and hygienic seating areas.,restaurant clean hygienic seating area,restaurant clean hygienic seating area,1
The restaurant had uncomfortable and worn-out seating.,restaurant uncomfortable wornout seating,restaurant uncomfortable wornout seating,0
mouthwatering and delightful flavor.,mouthwatering delightful flavor,mouthwatering delightful flavor,1
Soggy and not good.,soggy not good,soggy not good,0
The menu options were diverse and enticing.,menu option diverse entice,menu option diverse entice,1
The food had a mouthwatering and delicious flavor.,food mouthwatering delicious flavor,food mouthwatering delicious flavor,1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",guy steak steak love son steak best bad place say best steak ever eat,guy steak steak love son steak best bad place say best steak ever eat,1
The restaurant had dim and inadequate lighting.,restaurant dim inadequate lighting,restaurant dim inadequate lighting,0
The block was amazing.,block amaze,block amaze,1
The restaurant had clean and well-equipped restrooms.,restaurant clean wellequipped restroom,restaurant clean wellequipped restroom,1
The restaurant had clean and well-organized seating arrangements.,restaurant clean wellorganized seating arrangement,restaurant clean wellorganized seating arrangement,1
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",also taste mom multigrain pumpkin pancake pecan butter amaze fluffy delicious,also taste mom multigrain pumpkin pancake pecan butter amaze fluffy delicious,1
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,pro large seat area nice bar area great simple drink menu best brick oven pizza homemade dough,pro large seat area nice bar area great simple drink menu best brick oven pizza homemade dough,1
Best tacos in town by far!!,best taco town far,best taco town far,1
The portions were small and not satisfying.,portion small not satisfy,portion small not satisfy,0
The food was bland and lacked flavor.,food bland lack flavor,food bland lack flavor,0
I consider this theft.,consider theft,consider theft,0
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",ive well not dedicate boba tea spot even jenni pho,ive well not dedicate boba tea spot even jenni pho,0
The restaurant had clean and well-maintained bathrooms.,restaurant clean wellmaintained bathroom,restaurant clean wellmaintained bathroom,1
"Best Buffet in town, for the price you cannot beat it.",best buffet town price not beat,best buffet town price not beat,1
I loved the bacon wrapped dates.,love bacon wrap date,love bacon wrap date,1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,also decide not send back waitress look like verge heart attack,also decide not send back waitress look like verge heart attack,0
The service was outshining & I definitely recommend the Halibut.,service outshine definitely recommend halibut,service outshine definitely recommend halibut,1
The food was overpriced for the quality.,food overprice quality,food overprice quality,0
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,ive live since first last time ive stepped foot place,ive live since first last time ive stepped foot place,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",not much pasta love homemade hand make pasta thin pizza,not much pasta love homemade hand make pasta thin pizza,1
My boyfriend and i sat at the bar and had a completely delightful experience.,boyfriend sat bar completely delightful experience,boyfriend sat bar completely delightful experience,1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",salad right amount sauce not power scallop perfectly cook,salad right amount sauce not power scallop perfectly cook,1
The ambiance was cozy and inviting.,ambiance cozy invite,ambiance cozy invite,1
The food was perfectly seasoned and delightful.,food perfectly season delightful,food perfectly season delightful,1
The Burrittos Blah!,burrittos blah,burrittos blah,0
The food was greasy and left me feeling sick.,food greasy leave feel sick,food greasy leave feel sick,0
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",insult profound deuchebaggery go outside smoke break serve solidify,insult profound deuchebaggery go outside smoke break serve solidify,0
We loved the biscuits!!!,love biscuit,love biscuit,1
This was my first time and I can't wait until the next.,first time not wait next,first time not wait next,1
The place was fairly clean but the food simply wasn't worth it.,place fairly clean food simply not worth,place fairly clean food simply not worth,0
Great food and great service in a clean and friendly setting.,great food great service clean friendly setting,great food great service clean friendly setting,1
"This place is like Chipotle, but BETTER.",place like chipotle good,place like chipotle good,1
Left very frustrated.,left frustrated,left frustrated,0
Nicest Chinese restaurant I've been in a while.,nice chinese restaurant ive,nice chinese restaurant ive,1
If you want a sandwich just go to any Firehouse!!!!!,want sandwich go firehouse,want sandwich go firehouse,1
A FLY was in my apple juice.. A FLY!!!!!!!!,fly apple juice fly,fly apple juice fly,0
The steaks are all well trimmed and also perfectly cooked.,steak well trim also perfectly cook,steak well trim also perfectly cook,1
Service was very prompt.,service prompt,service prompt,1
The waiters were unprofessional and lacked proper manners.,waiter unprofessional lacked proper manner,waiter unprofessional lacked proper manner,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",sure order dessert even need pack togo tiramisu cannoli die,sure order dessert even need pack togo tiramisu cannoli die,1
They were excellent.,excellent,excellent,1
"I have eaten here multiple times, and each time the food was delicious.",eat multiple time time food delicious,eat multiple time time food delicious,1
The restaurant had limited seating capacity.,restaurant limit seating capacity,restaurant limit seating capacity,0
The bartender was also nice.,bartender also nice,bartender also nice,1
"Lastly, the mozzarella sticks, they were the best thing we ordered.",lastly mozzarella stick best thing order,lastly mozzarella stick best thing order,1
"The food is about on par with Denny's, which is to say, not good at all.",food par dennys say not good,food par dennys say not good,0
The service was extremely slow.,service extremely slow,service extremely slow,0
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,wait minute get drink long get arepas,wait minute get drink long get arepas,0
The flair bartenders are absolutely amazing!,flair bartender absolutely amazing,flair bartender absolutely amazing,1
The management was disorganized and inefficient.,management disorganize inefficient,management disorganize inefficient,0
The portions were inconsistent and lacked value.,portion inconsistent lack value,portion inconsistent lack value,0
The food had a mouthwatering and delightful taste.,food mouthwatering delightful taste,food mouthwatering delightful taste,1
The utensils and tableware were clean and polished.,utensil tableware clean polish,utensil tableware clean polish,1
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,really enjoy crema caf expand even tell friend best breakfast,really enjoy crema caf expand even tell friend best breakfast,1
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",also order spinach avocado salad ingredient sad dressing literally zero taste,also order spinach avocado salad ingredient sad dressing literally zero taste,0
The kids play area is NASTY!,kid play area nasty,kid play area nasty,0
And the beans and rice were mediocre at best.,bean rice mediocre best,bean rice mediocre best,0
"Overall, I was very disappointed with the quality of food at Bouchon.",overall disappointed quality food bouchon,overall disappointed quality food bouchon,0
I will come back here every time I'm in Vegas.,come back every time im vega,come back every time im vega,1
Great time - family dinner on a Sunday night.,great time family dinner sunday night,great time family dinner sunday night,1
