Review,Liked
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1
I was mortified.,0
RUDE & INCONSIDERATE MANAGEMENT.,0
Boy was that sucker dry!!.,0
"The food was underwhelming, falling short of expectations.",0
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1
The staff was rude and unhelpful in resolving issues.,0
"What did bother me, was the slow service.",0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0
This place is way too overpriced for mediocre food.,0
Spend your money and time some place else.,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
The portions were satisfying and left us content.,1
My friend did not like his Bloody Mary.,0
The food tasted fresh and full of flavor.,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
Service sucks.,0
They dropped more than the ball.,0
Good beer & drink selection and good food selection.,1
The waiters were attentive and got our orders right.,1
The waiters were pushy and constantly upselling.,0
I love the fact that everything on their menu is worth it.,1
The servers had an exceptional knowledge of the menu.,1
You can't beat that.,1
The portions were inconsistent and not filling.,0
The dishes had an unpleasant and strange texture.,0
"In summary, this was a largely disappointing dining experience.",0
"As for the ""mains,"" also uninspired.",0
"The restaurant had a range of vegetarian, vegan, and gluten-free options.",1
The waiters were attentive and provided great recommendations.,1
The roast beef sandwich tasted really good!,1
The food had an appetizing and appealing presentation.,1
It also took her forever to bring us the check when we asked for it.,0
"The burger is good beef, cooked just right.",1
The restaurant did not accommodate dietary restrictions.,0
The staff was rude and disrespectful.,0
She ordered a toasted English muffin that came out untoasted.,0
The food was a culinary delight with its exquisite flavors.,1
Maybe if they weren't cold they would have been somewhat edible.,0
Sooooo good!!,1
Update.....went back for a second time and it was still just as amazing,1
It was probably dirt.,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1
The food was a culinary delight with its exquisite taste.,1
It was equally awful.,0
"(It wasn't busy either) Also, the building was FREEZING cold.",0
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0
The restaurant had dirty dishes and stained cutlery.,0
The desserts were a bit strange.,0
The restaurant had a vibrant and lively atmosphere.,1
The restaurant had dirty tables and sticky surfaces.,0
This is an unbelievable BARGAIN!,1
Service is friendly and inviting.,1
Pretty awesome place.,1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
The restaurant had poor ventilation and felt stuffy.,0
The portions were small and left us unsatisfied.,0
"All in all, Ha Long Bay was a bit of a flop.",0
The staff was disorganized and made errors with our orders.,0
- the food is rich so order accordingly.,1
The waiters were knowledgeable about the menu.,1
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1
The restaurant did not offer vegetarian options.,0
The staff was unwelcoming and didn't provide good hospitality.,0
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
The portions were overpriced and not worth it.,0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1
The staff was professional and provided impeccable service.,1
"Great atmosphere, friendly and fast service.",1
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
"Everyone is very attentive, providing excellent customer service.",1
The wait staff appeared disengaged and unenthusiastic.,0
So don't go there if you are looking for good food...,0
The staff was professional and courteous.,1
The portions were tiny and unsatisfying.,0
"This was my first crawfish experience, and it was delicious!",1
We literally sat there for 20 minutes with no one asking to take our order.,0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1
An extensive menu provides lots of options for breakfast.,1
Once you get inside you'll be impressed with the place.,1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
This is a great restaurant at the Mandalay Bay.,1
"Best service and food ever, Maria our server was so good and friendly she made our day.",1
The chefs were friendly and did a good job.,1
Awesome selection of beer.,1
The food was overpriced for the quality served.,0
"The portions were small, not filling or satisfying.",0
The servers were constantly chatting and ignoring customers.,0
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
The staff was slow to respond and didn't address our needs.,0
Very friendly staff.,1
"The waiters were slow and forgetful, mixing up orders.",0
Damn good steak.,1
I wouldn't return.,0
The staff was slow and inefficient.,0
"For service, I give them no stars.",0
The portions were ridiculously small.,0
"I gave it 5 stars then, and I'm giving it 5 stars now.",1
It kept getting worse and worse so now I'm officially done.,0
"This place is not quality sushi, it is not a quality restaurant.",0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0
Crust is not good.,0
We won't be going back anytime soon!,0
The food was underwhelming and didn't impress.,0
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
This place was such a nice surprise!,1
I waited and waited.,0
The waiters were impolite and lacked basic manners.,0
"The chips and salsa were really good, the salsa was very fresh.",1
The service was slow and rude.,0
"Very good, though!",1
The restaurant had clean and well-appointed restrooms.,1
"- Really, really good rice, all the time.",1
I paid the bill but did not tip because I felt the server did a terrible job.,0
Would come back again if I had a sushi craving while in Vegas.,1
"If you look for authentic Thai food, go else where.",0
"No, I'm going to eat the potato that I found some strangers hair in it.",0
"The portions were disappointing, not worth the price paid.",0
The food was served hot and mouthwatering.,1
The food tasted burnt and charred.,0
The staff was unfriendly and provided poor customer service.,0
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
Very Very Disappointed ordered the $35 Big Bay Plater.,0
This place is horrible and way overpriced.,0
And service was super friendly.,1
The staff was unfriendly and showed no hospitality.,0
The dishes had the perfect level of spiciness.,1
The waiters were slow and forgetful with our orders.,0
The restaurant had no vegan options.,0
"Overall, I like this place a lot.",1
this place is good.,1
The restaurant had poor hygiene and cleanliness.,0
Would not go back.,0
The service was a bit lacking.,0
This was my first and only Vegas buffet and it did not disappoint.,1
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1
Service was exceptional and food was a good as all the reviews.,1
The wait staff seemed knowledgeable and well-trained.,1
Nothing special.,0
Thoroughly disappointed!,0
"Of all the dishes, the salmon was the best, but all were great.",1
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
The food was bland and uninspiring.,0
"This place is not worth your time, let alone Vegas.",0
Food is way overpriced and portions are fucking small.,0
very tough and very short on flavor!,0
We waited for forty five minutes in vain.,0
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0
I don't have to be an accountant to know I'm getting screwed!,0
The portions were small and didn't justify the price.,0
We recently witnessed her poor quality of management towards other guests as well.,0
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
It's too bad the food is so damn generic.,0
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
The restaurant had dirty dishes and neglected cleanliness.,0
The dishes were overcooked and dry.,0
Great food.,1
The food was delectable and mouthwatering.,1
Food quality has been horrible.,0
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1
The restaurant had an unpleasant smell throughout.,0
The waitress and manager are so friendly.,1
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
All the bread is made in-house!,1
The service was disorganized and chaotic.,0
Definitely not worth the $3 I paid.,0
The dishes were overpriced for their quality.,0
say bye bye to your tip lady!,0
"The chips that came out were dripping with grease, and mostly not edible.",0
Must have been an off night at this place.,0
"I loved the grilled pizza, reminded me of legit Italian pizza.",1
The restaurant had a foul smell.,0
Their chow mein is so good!,1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
The restaurant had dirty menus and sticky surfaces.,0
"The fries were not hot, and neither was my burger.",0
"Plus, it's only 8 bucks.",1
The staff was disorganized and had difficulty managing orders.,0
Bland and flavorless is a good way of describing the barely tepid meat.,0
My drink was never empty and he made some really great menu suggestions.,1
The restaurant had clean and well-maintained facilities.,1
The portions were meager and left us feeling unsatisfied.,0
"You get incredibly fresh fish, prepared with care.",1
We will not be coming back.,0
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
The cocktails are all handmade and delicious.,1
A fantastic neighborhood gem !!!,1
The food had an odd combination of flavors.,0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0
The food was tasteless and lacked any flavor.,0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
The restaurant was dirty and unclean.,0
The refried beans that came with my meal were dried out and crusty and the food was bland.,0
The restaurant had a warm and welcoming ambiance.,1
"When my order arrived, one of the gyros was missing.",0
The staff was unresponsive and didn't attend to our concerns.,0
The portions were tiny and left us hungry.,0
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
I don't think we'll be going back anytime soon.,0
Our server was very nice and attentive as were the other serving staff.,1
Our server was super nice and checked on us many times.,1
"The restaurant had poor ventilation, making the air stuffy.",0
The staff was unprofessional and impolite.,0
"Food was good, service was good, Prices were good.",1
The food had a harmonious blend of flavors and textures.,1
The food was worth every penny.,1
Eew... This location needs a complete overhaul.,0
This is my new fav Vegas buffet spot.,1
I love this place.,1
I won't try going back there even if it's empty.,0
Always a great time at Dos Gringos!,1
The food was absolutely delicious.,1
The waiters were friendly and provided exceptional service.,1
The dishes were poorly presented and sloppily plated.,0
The food had a tantalizing and mouthwatering taste.,1
The restaurant had slow and inefficient service.,0
"Great food for the price, which is very high quality and house made.",1
The restaurant had clean and well-designed menus.,1
"Seriously flavorful delights, folks.",1
Their steaks are 100% recommended!,1
The waiters were impolite and impatient with us.,0
The food had a harmonious blend of spices and ingredients.,1
The restaurant had limited vegetarian options and poor alternatives.,0
We watched our waiter pay a lot more attention to other tables and ignore us.,0
Their frozen margaritas are WAY too sugary for my taste.,0
The dishes were served lukewarm and not hot.,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1
It really is impressive that the place hasn't closed down.,0
No complaints!,1
They really want to make your experience a good one.,1
The waiters were attentive and knowledgeable.,1
The staff are also very friendly and efficient.,1
I would definitely recommend the wings as well as the pizza.,1
The owners are super friendly and the staff is courteous.,1
This place deserves one star and 90% has to do with the food.,0
If you haven't gone here GO NOW!,1
I think food should have flavor and texture and both were lacking.,0
"I don't have very many words to say about this place, but it does everything pretty well.",1
The management was disorganized and unprofessional.,0
Service was good and the company was better!,1
Worst Thai ever.,0
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0
OMG I felt like I had never eaten Thai food until this dish.,1
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0
Dessert: Panna Cotta was amazing.,1
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
This place is great!!!!!!!!!!!!!!,1
I love the decor with the Chinese calligraphy wall paper.,1
Not my thing.,0
I vomited in the bathroom mid lunch.,0
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0
Very good lunch spot.,1
Just had lunch here and had a great experience.,1
The portions were generous and left us feeling completely satisfied.,1
The restaurant had unclean tables and sticky surfaces.,0
The restaurant had unclean facilities and neglected cleanliness.,0
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1
Never again will I be dining at this place!,0
The restaurant atmosphere was exquisite.,1
This one is simply a disappointment.,0
"Also, the fries are without a doubt the worst fries I've ever had.",0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
I've never been more insulted or felt disrespected.,0
So flavorful and has just the perfect amount of heat.,1
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
The restaurant had a long wait time for a table.,0
It was way over fried.,0
"I started this review with two stars, but I'm editing it to give it only one.",0
"The service was great, even the manager came and helped with our table.",1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
The best place to go for a tasty bowl of Pho!,1
But I definitely would not eat here again.,0
Do yourself a favor and stay away from this dish.,0
"The food, amazing.",1
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1
The servers had an extensive knowledge of the menu.,1
Great Pizza and Salads!,1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
But now I was completely grossed out.,0
The food was flavorless and lacked seasoning.,0
Bacon is hella salty.,1
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
Great service and food.,1
I had a seriously solid breakfast here.,1
"I had strawberry tea, which was good.",1
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
Everyone is treated equally special.,1
Never had anything to complain about here.,1
It was absolutely amazing.,1
The waiters were unprofessional and lacked basic manners.,0
"Friend's pasta -- also bad, he barely touched it.",0
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
A lady at the table next to us found a live green caterpillar In her salad.,0
Their monster chicken fried steak and eggs is my all time favorite.,1
The waiters were impolite and showed no patience.,0
The restaurant had a lack of vegetarian-friendly options.,0
The real disappointment was our waiter.,0
"Point your finger at any item on the menu, order it and you won't be disappointed.",1
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
"Needless to say, I won't be going back anytime soon.",0
first time there and might just be the last.,0
But the service was beyond bad.,0
Good prices.,1
By this time our side of the restaurant was almost empty so there was no excuse.,0
The service was terrible though.,0
The waitresses are very friendly.,1
Don't bother coming here.,0
The restaurant had uncomfortable chairs and cramped spaces.,0
Now this dish was quite flavourful.,1
The restaurant had quick service and efficient staff.,1
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
The staff was unhelpful and didn't provide good service.,0
The staff was disorganized and made mistakes with our orders.,0
Service was fine and the waitress was friendly.,1
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
The steak and the shrimp are in my opinion the best entrees at GC.,1
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
The food had a perfect balance of flavors and aromas.,1
The Macarons here are insanely good.,1
The food was overcooked and dry.,0
It'll be a regular stop on my trips to Phoenix!,1
The portions were generous and left us pleasantly full.,1
The waiter wasn't helpful or friendly and rarely checked on us.,0
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
These were so good we ordered them twice.,1
The restaurant had a cozy and welcoming environment.,1
The dishes were cold and unappetizing.,0
"Very good food, great atmosphere.1",1
The waiters were unfriendly and lacked basic courtesy.,0
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
I will not be eating there again.,0
The food took forever to arrive at our table.,0
Def coming back to bowl next time,1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
"Give it a try, you will be happy you did.",1
High-quality chicken on the chicken Caesar salad.,1
Seriously killer hot chai latte.,1
CONCLUSION: Very filling meals.,1
The food was a true culinary delight with its exquisite taste.,1
Service was fantastic.,1
This is a disgrace.,0
5 stars for the brick oven bread app!,1
The portions were overpriced and not worth the value.,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1
"A couple of months later, I returned and had an amazing meal.",1
I don't know what kind it is but they have the best iced tea.,1
The staff was unresponsive and unattentive.,0
Both great!,1
I miss it and wish they had one in Philadelphia!,1
